"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089907","VT",500019601001043,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,"50001960100"
"10089908","VT",500019601001044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089909","VT",500019601001045,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,10,10,10,10,10,10,10,10,"50001960100"
"10089910","VT",500019601001046,12,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,11,11,11,11,11,11,11,11,"50001960100"
"10089911","VT",500019601001047,13,13,13,13,13,13,13,13,42,43,43,43,43,43,43,43,13,13,13,13,13,13,13,13,"50001960100"
"10089912","VT",500019601001048,4,4,4,4,4,4,4,4,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,"50001960100"
"10089913","VT",500019601001049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089914","VT",500019601001050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089915","VT",500019601001051,4,4,4,4,5,5,6,6,12,12,12,12,12,12,12,12,4,4,4,4,5,5,6,6,"50001960100"
"10089916","VT",500019601001052,5,5,5,5,5,5,6,6,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4.8,4.8,"50001960100"
"10089917","VT",500019601002000,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,"50001960100"
"10089918","VT",500019601002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089919","VT",500019601002002,9,9,9,9,9,9,9,9,23,23,23,23,23,23,23,23,9,9,9,9,9,9,9,9,"50001960100"
"10089920","VT",500019601002003,8,8,8,8,8,8,8,8,22,22,22,22,22,22,22,22,8,8,8,8,8,8,8,8,"50001960100"
"10089921","VT",500019601002004,10,11,11,11,11,11,12,13,22,22,22,22,22,22,22,22,10,11,11,11,11,11,12,13,"50001960100"
"10089922","VT",500019601002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089923","VT",500019601002006,13,13,13,13,13,13,13,13,36,36,36,36,36,36,36,36,13,13,13,13,13,13,13,13,"50001960100"
"10089924","VT",500019601002007,84,84,84,84,84,85,85,86,186,188,187,187,187,187,187,180,71,71,71,71,71,71.8452,71.8452,72.6904,"50001960100"
"10089925","VT",500019601002008,14,14,14,14,14,14,14,14,39,39,39,39,39,39,39,39,14,14,14,14,14,14,14,14,"50001960100"
"10089926","VT",500019601002009,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,"50001960100"
"10089927","VT",500019601002010,26,26,26,26,26,26,26,26,66,66,65,65,65,65,65,65,23,23,23,23,23,23,23,23,"50001960100"
"10089928","VT",500019601002011,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,"50001960100"
"10089929","VT",500019601002012,6,6,6,6,6,6,6,6,16,16,16,16,17,17,17,17,5,5,5,5,5,5,5,5,"50001960100"
